"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_STATUS","EMPLOYMENT_STATUS_NAME","EMPLOYMENT_STATUS_CODE","EMPLOYMENT_STATUS_TYPE","EMPLOYMENT_STATUS_TYPECODE","EMPLOYMENT_STATUS_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264348","46620 : Wholesale of machine tools","46620","SIC 2007 subclass (5 digit)",32,402,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",350,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264348d0d2d1d3d20100",1206,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264348","46620 : Wholesale of machine tools","46620","SIC 2007 subclass (5 digit)",32,402,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264348d0d3d1d3d20100",1207,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264348","46620 : Wholesale of machine tools","46620","SIC 2007 subclass (5 digit)",32,402,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",450,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264348d0d4d1d3d20100",1208,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264358","46630 : Wholesale of mining, construction and civil engineering machinery","46630","SIC 2007 subclass (5 digit)",32,403,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",700,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264358d0d2d1d3d20100",1209,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264358","46630 : Wholesale of mining, construction and civil engineering machinery","46630","SIC 2007 subclass (5 digit)",32,403,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",45,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264358d0d3d1d3d20100",1210,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264358","46630 : Wholesale of mining, construction and civil engineering machinery","46630","SIC 2007 subclass (5 digit)",32,403,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",800,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264358d0d4d1d3d20100",1211,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264368","46640 : Wholesale of machinery for the textile industry and of sewing and knitting machines","46640","SIC 2007 subclass (5 digit)",32,404,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264368d0d2d1d3d20100",1212,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264368","46640 : Wholesale of machinery for the textile industry and of sewing and knitting machines","46640","SIC 2007 subclass (5 digit)",32,404,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264368d0d3d1d3d20100",1213,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264368","46640 : Wholesale of machinery for the textile industry and of sewing and knitting machines","46640","SIC 2007 subclass (5 digit)",32,404,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264368d0d4d1d3d20100",1214,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264378","46650 : Wholesale of office furniture","46650","SIC 2007 subclass (5 digit)",32,405,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",200,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264378d0d2d1d3d20100",1215,2187
